Book Name,Author,Author_Rating,Book_average_rating,genre,sale price,combined
DÃ©jÃ  Dead,Kathy Reichs,Intermediate,3.86,genre fiction,4.99,DÃ©jÃ  Dead Kathy Reichs genre fiction
The Alchemyst: The Secrets of The Immortal Nicholas Flamel,Michael Scott,Intermediate,3.84,genre fiction,7.99,The Alchemyst: The Secrets of The Immortal Nicholas Flamel Michael Scott genre fiction
The Marriage Plot,Jeffrey Eugenides,Novice,3.42,genre fiction,5.12,The Marriage Plot Jeffrey Eugenides genre fiction
Hija de la fortuna,"Isabel Allende, Margaret Sayers Peden",Intermediate,3.89,genre fiction,2.99,"Hija de la fortuna Isabel Allende, Margaret Sayers Peden genre fiction"
Luckiest Girl Alive,Jessica Knoll,Novice,3.48,genre fiction,9.56,Luckiest Girl Alive Jessica Knoll genre fiction
"Crank (Crank, #1)",Ellen Hopkins,Excellent,4.16,genre fiction,3.99,"Crank (Crank, #1) Ellen Hopkins genre fiction"
The Raven Boys,Maggie Stiefvater,Excellent,4.05,nonfiction,0.99,The Raven Boys Maggie Stiefvater nonfiction
I Am Legend and Other Stories,Richard Matheson,Intermediate,3.99,genre fiction,2.99,I Am Legend and Other Stories Richard Matheson genre fiction
Olive Kitteridge,Elizabeth Strout,Intermediate,3.78,genre fiction,0.99,Olive Kitteridge Elizabeth Strout genre fiction
Not that Kind of Girl,"Lena Dunham, Joana Avillez",Novice,3.33,nonfiction,5.99,"Not that Kind of Girl Lena Dunham, Joana Avillez nonfiction"
Good to Great: Why Some Companies Make the Leap... and Others Don't,James C. Collins,Excellent,4.04,genre fiction,4.99,Good to Great: Why Some Companies Make the Leap... and Others Don't James C. Collins genre fiction
Fire,Kristin Cashore,Excellent,4.12,genre fiction,11.99,Fire Kristin Cashore genre fiction
En attendant Godot,Samuel Beckett,Intermediate,3.81,genre fiction,7.99,En attendant Godot Samuel Beckett genre fiction
White Fang,Jack London,Intermediate,3.94,genre fiction,8.39,White Fang Jack London genre fiction
Wolves of the Calla,"Stephen King, Bernie Wrightson",Excellent,4.17,genre fiction,2.99,"Wolves of the Calla Stephen King, Bernie Wrightson genre fiction"
His Dark Materials,Philip Pullman,Excellent,4.25,genre fiction,2.99,His Dark Materials Philip Pullman genre fiction
The Edge of Never,J.A. Redmerski,Excellent,4.26,genre fiction,2.99,The Edge of Never J.A. Redmerski genre fiction
Reconstructing Amelia,Kimberly McCreight,Intermediate,3.82,nonfiction,0.99,Reconstructing Amelia Kimberly McCreight nonfiction
The One Plus One,Jojo Moyes,Intermediate,3.94,genre fiction,1.99,The One Plus One Jojo Moyes genre fiction
The Hours,Michael Cunningham,Intermediate,3.91,genre fiction,2.5,The Hours Michael Cunningham genre fiction
Wallbanger,Alice Clayton,Excellent,4.1,nonfiction,9.49,Wallbanger Alice Clayton nonfiction
Holidays on Ice,David Sedaris,Intermediate,3.95,genre fiction,2.99,Holidays on Ice David Sedaris genre fiction
Desperation,Stephen King,Intermediate,3.8,genre fiction,0.99,Desperation Stephen King genre fiction
Passion,Lauren Kate,Intermediate,3.89,genre fiction,3.99,Passion Lauren Kate genre fiction
The Kill Order,James Dashner,Intermediate,3.69,genre fiction,5.38,The Kill Order James Dashner genre fiction
Angelfall,Susan Ee,Excellent,4.19,genre fiction,0.99,Angelfall Susan Ee genre fiction
Empire Falls,Richard Russo,Intermediate,3.91,genre fiction,2.99,Empire Falls Richard Russo genre fiction
The Fires of Heaven,Robert Jordan,Excellent,4.13,children,7.59,The Fires of Heaven Robert Jordan children
I'll Give You the Sun,Jandy Nelson,Excellent,4.14,genre fiction,2.99,I'll Give You the Sun Jandy Nelson genre fiction
Survivor,Chuck Palahniuk,Intermediate,3.93,genre fiction,0.99,Survivor Chuck Palahniuk genre fiction
Shopaholic and Baby,Sophie Kinsella,Intermediate,3.77,genre fiction,0.99,Shopaholic and Baby Sophie Kinsella genre fiction
The Dark Tower,Stephen King,Excellent,4.27,genre fiction,3.99,The Dark Tower Stephen King genre fiction
Twilight Director's Notebook,Catherine Hardwicke,Excellent,4.2,genre fiction,8.99,Twilight Director's Notebook Catherine Hardwicke genre fiction
Shopaholic Abroad,Sophie Kinsella,Intermediate,3.75,genre fiction,7.69,Shopaholic Abroad Sophie Kinsella genre fiction
"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character",Richard Feynman,Excellent,4.29,genre fiction,4.99,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character Richard Feynman genre fiction"
Linger,Maggie Stiefvater,Intermediate,3.91,genre fiction,1.99,Linger Maggie Stiefvater genre fiction
The Complete Anne of Green Gables Boxed Set,L.M. Montgomery,Famous,4.42,genre fiction,7.99,The Complete Anne of Green Gables Boxed Set L.M. Montgomery genre fiction
A Portrait of the Artist as a Young Man,"James Joyce, Seamus Deane",Intermediate,3.6,fiction,2.99,"A Portrait of the Artist as a Young Man James Joyce, Seamus Deane fiction"
The Gathering Storm,"Robert Jordan, Brandon Sanderson",Excellent,4.34,genre fiction,3.99,"The Gathering Storm Robert Jordan, Brandon Sanderson genre fiction"
Middlemarch,"George Eliot, Michel Faber",Intermediate,3.93,nonfiction,0.99,"Middlemarch George Eliot, Michel Faber nonfiction"
Point of Retreat,Colleen Hoover,Excellent,4.3,genre fiction,0.99,Point of Retreat Colleen Hoover genre fiction
The Partner,John Grisham,Intermediate,3.89,genre fiction,3.99,The Partner John Grisham genre fiction
The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Famous,4.59,genre fiction,0.99,The Hobbit and The Lord of the Rings J.R.R. Tolkien genre fiction
Thoughtless,S.C. Stephens,Excellent,4.12,genre fiction,5.99,Thoughtless S.C. Stephens genre fiction
Presumed Innocent,Scott Turow,Excellent,4.1,genre fiction,2.99,Presumed Innocent Scott Turow genre fiction
The Dark Half,Stephen King,Intermediate,3.74,genre fiction,2.99,The Dark Half Stephen King genre fiction
Cleopatra: A Life,Stacy Schiff,Intermediate,3.62,genre fiction,0.99,Cleopatra: A Life Stacy Schiff genre fiction
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,Intermediate,3.66,genre fiction,2.99,The World Is Flat: A Brief History of the Twenty-first Century Thomas L. Friedman genre fiction
Steelheart,Brandon Sanderson,Excellent,4.16,genre fiction,6.83,Steelheart Brandon Sanderson genre fiction
Voyage au centre de la Terre,Jules Verne,Intermediate,3.84,nonfiction,9.59,Voyage au centre de la Terre Jules Verne nonfiction
The Happiness Project,Gretchen Rubin,Intermediate,3.57,genre fiction,0.99,The Happiness Project Gretchen Rubin genre fiction
The Man in the High Castle,Philip K. Dick,Intermediate,3.66,genre fiction,12.74,The Man in the High Castle Philip K. Dick genre fiction
Helter Skelter: The True Story of The Manson Murders,"Vincent Bugliosi, Curt Gentry",Intermediate,4.0,genre fiction,0.99,"Helter Skelter: The True Story of The Manson Murders Vincent Bugliosi, Curt Gentry genre fiction"
Inferno,"Dante Alighieri, Anthony M. Esolen",Intermediate,3.99,fiction,1.99,"Inferno Dante Alighieri, Anthony M. Esolen fiction"
Shadow of Night,Deborah Harkness,Excellent,4.04,genre fiction,6.98,Shadow of Night Deborah Harkness genre fiction
Leaving Time,Jodi Picoult,Intermediate,3.94,fiction,0.99,Leaving Time Jodi Picoult fiction
Moon Called,Patricia Briggs,Excellent,4.18,genre fiction,1.99,Moon Called Patricia Briggs genre fiction
Blue Bloods,Melissa de la Cruz,Intermediate,3.68,genre fiction,3.99,Blue Bloods Melissa de la Cruz genre fiction
The Alienist,Caleb Carr,Excellent,4.05,genre fiction,6.99,The Alienist Caleb Carr genre fiction
Between the World and Me,Ta-Nehisi Coates,Famous,4.4,genre fiction,2.99,Between the World and Me Ta-Nehisi Coates genre fiction
Paradise Lost,"John Milton, John      Leonard",Intermediate,3.8,genre fiction,4.99,"Paradise Lost John Milton, John      Leonard genre fiction"
The Big Short: Inside the Doomsday Machine,Michael   Lewis,Excellent,4.26,fiction,6.99,The Big Short: Inside the Doomsday Machine Michael   Lewis fiction
The Girl Who Loved Tom Gordon,Stephen King,Intermediate,3.56,nonfiction,7.74,The Girl Who Loved Tom Gordon Stephen King nonfiction
 A Monster Calls ,"Patrick Ness, Jim Kay, Siobhan Dowd",Excellent,4.36,genre fiction,10.65," A Monster Calls  Patrick Ness, Jim Kay, Siobhan Dowd genre fiction"
Towers of Midnight,"Robert Jordan, Brandon Sanderson",Famous,4.42,fiction,1.99,"Towers of Midnight Robert Jordan, Brandon Sanderson fiction"
The Day of the Jackal,Frederick Forsyth,Excellent,4.25,genre fiction,0.99,The Day of the Jackal Frederick Forsyth genre fiction
Rework,"Jason Fried, David Heinemeier Hansson",Intermediate,3.93,genre fiction,2.99,"Rework Jason Fried, David Heinemeier Hansson genre fiction"
Attachments,Rainbow Rowell,Intermediate,3.95,genre fiction,0.99,Attachments Rainbow Rowell genre fiction
The Twilight Saga,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",Intermediate,3.88,genre fiction,9.49,"The Twilight Saga Stephenie Meyer, Ilyana Kadushin, Matt Walters genre fiction"
Tell the Wolves I'm Home,Carol Rifka Brunt,Excellent,4.04,genre fiction,1.99,Tell the Wolves I'm Home Carol Rifka Brunt genre fiction
All Creatures Great And Small,James Herriot,Excellent,4.31,genre fiction,5.99,All Creatures Great And Small James Herriot genre fiction
The Unbecoming of Mara Dyer,Michelle Hodkin,Excellent,4.09,fiction,10.99,The Unbecoming of Mara Dyer Michelle Hodkin fiction
Three to Get Deadly,Janet Evanovich,Excellent,4.14,genre fiction,6.49,Three to Get Deadly Janet Evanovich genre fiction
The Scarlet Pimpernel,Emmuska Orczy,Excellent,4.06,fiction,3.79,The Scarlet Pimpernel Emmuska Orczy fiction
The Monster at the End of This Book,"Jon Stone, Michael J. Smollin",Famous,4.45,genre fiction,1.99,"The Monster at the End of This Book Jon Stone, Michael J. Smollin genre fiction"
Tales of a Fourth Grade Nothing,Judy Blume,Excellent,4.09,genre fiction,2.99,Tales of a Fourth Grade Nothing Judy Blume genre fiction
Shadow and Bone,Leigh Bardugo,Excellent,4.05,fiction,3.99,Shadow and Bone Leigh Bardugo fiction
Het diner,"Herman Koch, Sam Garrett",Novice,3.22,genre fiction,4.99,"Het diner Herman Koch, Sam Garrett genre fiction"
Champion,Marie Lu,Excellent,4.37,nonfiction,9.99,Champion Marie Lu nonfiction
Contact,Carl Sagan,Excellent,4.11,genre fiction,7.99,Contact Carl Sagan genre fiction
Lola and the Boy Next Door,Stephanie Perkins,Intermediate,4.0,genre fiction,3.99,Lola and the Boy Next Door Stephanie Perkins genre fiction
White Teeth,Zadie Smith,Intermediate,3.75,fiction,0.99,White Teeth Zadie Smith fiction
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"Chris Kyle, Scott McEwen, Jim DeFelice",Intermediate,3.97,genre fiction,12.74,"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History Chris Kyle, Scott McEwen, Jim DeFelice genre fiction"
My Horizontal Life: A Collection of One-Night Stands,Chelsea Handler,Intermediate,3.79,nonfiction,7.66,My Horizontal Life: A Collection of One-Night Stands Chelsea Handler nonfiction
The Power of Six,Pittacus Lore,Excellent,4.17,fiction,10.91,The Power of Six Pittacus Lore fiction
The Interestings,Meg Wolitzer,Intermediate,3.54,genre fiction,7.99,The Interestings Meg Wolitzer genre fiction
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,Famous,4.65,genre fiction,0.99,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury Bill Watterson genre fiction
People of the Book,Geraldine Brooks,Intermediate,4.0,genre fiction,7.69,People of the Book Geraldine Brooks genre fiction
The Secret Keeper,Kate Morton,Excellent,4.13,genre fiction,1.99,The Secret Keeper Kate Morton genre fiction
Better Homes & Gardens New Cook Book,Better Homes and Gardens,Excellent,4.14,nonfiction,0.99,Better Homes & Gardens New Cook Book Better Homes and Gardens nonfiction
"So Long, and Thanks for All the Fish",Douglas Adams,Excellent,4.08,genre fiction,11.89,"So Long, and Thanks for All the Fish Douglas Adams genre fiction"
Der Steppenwolf: ErzÃ¤hlung,"Hermann Hesse, Basil Creighton",Excellent,4.11,fiction,4.99,"Der Steppenwolf: ErzÃ¤hlung Hermann Hesse, Basil Creighton fiction"
The Surgeon,Tess Gerritsen,Excellent,4.1,nonfiction,10.99,The Surgeon Tess Gerritsen nonfiction
The Girl You Left Behind,Jojo Moyes,Intermediate,3.95,genre fiction,6.94,The Girl You Left Behind Jojo Moyes genre fiction
Royal Assassin,Robin Hobb,Excellent,4.21,fiction,0.99,Royal Assassin Robin Hobb fiction
Childhood's End,Arthur C. Clarke,Excellent,4.09,genre fiction,7.39,Childhood's End Arthur C. Clarke genre fiction
 The Tale of Despereaux,"Kate DiCamillo, Timothy Basil Ering",Intermediate,4.0,genre fiction,6.99," The Tale of Despereaux Kate DiCamillo, Timothy Basil Ering genre fiction"
"Animal, Vegetable, Miracle: A Year of Food Life","Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",Excellent,4.03,genre fiction,4.99,"Animal, Vegetable, Miracle: A Year of Food Life Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser genre fiction"
Heir of Fire,Sarah J. Maas,Famous,4.53,genre fiction,0.99,Heir of Fire Sarah J. Maas genre fiction
The Sweetness at the Bottom of the Pie,Alan Bradley,Intermediate,3.81,genre fiction,10.65,The Sweetness at the Bottom of the Pie Alan Bradley genre fiction
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,Intermediate,3.92,genre fiction,0.99,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality Donald Miller genre fiction
A Breath of Snow and Ashes,Diana Gabaldon,Famous,4.43,nonfiction,10.65,A Breath of Snow and Ashes Diana Gabaldon nonfiction
The Blood of Olympus,Rick Riordan,Famous,4.41,genre fiction,0.99,The Blood of Olympus Rick Riordan genre fiction
Truly Madly Guilty,Liane Moriarty,Intermediate,3.55,genre fiction,0.99,Truly Madly Guilty Liane Moriarty genre fiction
"Saga, Volume One","Brian K. Vaughan, Fiona Staples",Excellent,4.25,genre fiction,0.99,"Saga, Volume One Brian K. Vaughan, Fiona Staples genre fiction"
The Art of Fielding,Chad Harbach,Intermediate,3.99,genre fiction,1.99,The Art of Fielding Chad Harbach genre fiction
A Moveable Feast,Ernest Hemingway,Excellent,4.04,genre fiction,4.99,A Moveable Feast Ernest Hemingway genre fiction
Fablehaven,Brandon Mull,Excellent,4.08,genre fiction,9.02,Fablehaven Brandon Mull genre fiction
The Wide Window,"Lemony Snicket, Brett Helquist",Intermediate,3.91,genre fiction,0.99,"The Wide Window Lemony Snicket, Brett Helquist genre fiction"
Grave Peril,Jim Butcher,Excellent,4.18,nonfiction,1.99,Grave Peril Jim Butcher nonfiction
Einstein. His Life and Universe,Walter Isaacson,Excellent,4.08,nonfiction,1.99,Einstein. His Life and Universe Walter Isaacson nonfiction
Effortless,S.C. Stephens,Excellent,4.37,genre fiction,0.99,Effortless S.C. Stephens genre fiction
The Street Lawyer,John Grisham,Intermediate,3.81,genre fiction,1.99,The Street Lawyer John Grisham genre fiction
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Intermediate,3.79,nonfiction,3.99,"Roll of Thunder, Hear My Cry Mildred D. Taylor nonfiction"
Pride and Prejudice and Zombies,"Seth Grahame-Smith, Jane Austen",Novice,3.28,genre fiction,3.82,"Pride and Prejudice and Zombies Seth Grahame-Smith, Jane Austen genre fiction"
Lets Explore Diabetes with Owls,David Sedaris,Intermediate,3.8,genre fiction,2.99,Lets Explore Diabetes with Owls David Sedaris genre fiction
Ð˜Ð´Ð¸Ð¾Ñ‚,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",Excellent,4.18,fiction,8.99,"Ð˜Ð´Ð¸Ð¾Ñ‚ Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky fiction"
Dirk Gently's Holistic Detective Agency,Douglas Adams,Intermediate,3.97,nonfiction,2.99,Dirk Gently's Holistic Detective Agency Douglas Adams nonfiction
Rodrick Rules,Jeff Kinney,Excellent,4.1,genre fiction,2.99,Rodrick Rules Jeff Kinney genre fiction
Why Not Me?,Mindy Kaling,Intermediate,3.89,genre fiction,9.99,Why Not Me? Mindy Kaling genre fiction
Four: A Divergent Collection,Veronica Roth,Excellent,4.1,fiction,2.99,Four: A Divergent Collection Veronica Roth fiction
Modern Romance,"Aziz Ansari, Eric Klinenberg",Intermediate,3.85,genre fiction,0.99,"Modern Romance Aziz Ansari, Eric Klinenberg genre fiction"
The One and Only Ivan,"Katherine Applegate, Patricia Castelao",Excellent,4.24,genre fiction,2.99,"The One and Only Ivan Katherine Applegate, Patricia Castelao genre fiction"
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,Excellent,4.07,genre fiction,3.99,The Perfect Storm: A True Story of Men Against the Sea Sebastian Junger genre fiction
Elantris,Brandon Sanderson,Excellent,4.17,genre fiction,1.99,Elantris Brandon Sanderson genre fiction
The Knife of Never Letting Go,Patrick Ness,Intermediate,3.96,genre fiction,7.19,The Knife of Never Letting Go Patrick Ness genre fiction
One Thousand White Women: The Journals of May Dodd,Jim Fergus,Intermediate,3.88,genre fiction,2.99,One Thousand White Women: The Journals of May Dodd Jim Fergus genre fiction
Handle with Care,Jodi Picoult,Intermediate,3.96,fiction,8.99,Handle with Care Jodi Picoult fiction
Song of Susannah,"Stephen King, Darrel Anderson",Intermediate,3.98,genre fiction,2.99,"Song of Susannah Stephen King, Darrel Anderson genre fiction"
Reached,Ally Condie,Intermediate,3.56,genre fiction,0.99,Reached Ally Condie genre fiction
Midnight's Children,Salman Rushdie,Intermediate,3.99,nonfiction,9.39,Midnight's Children Salman Rushdie nonfiction
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,Intermediate,3.86,genre fiction,0.99,The Zombie Survival Guide: Complete Protection from the Living Dead Max Brooks genre fiction
The Testament,John Grisham,Intermediate,3.83,nonfiction,4.99,The Testament John Grisham nonfiction
Murder at the Vicarage,Agatha Christie,Excellent,4.03,nonfiction,4.29,Murder at the Vicarage Agatha Christie nonfiction
Among the Hidden ,Margaret Peterson Haddix,Intermediate,3.97,genre fiction,13.59,Among the Hidden  Margaret Peterson Haddix genre fiction
In Defense of Food: An Eater's Manifesto,Michael Pollan,Excellent,4.07,genre fiction,3.99,In Defense of Food: An Eater's Manifesto Michael Pollan genre fiction
The Witch of Blackbird Pond,Elizabeth George Speare,Intermediate,3.97,nonfiction,7.99,The Witch of Blackbird Pond Elizabeth George Speare nonfiction
The Heir,Kiera Cass,Intermediate,3.85,genre fiction,3.99,The Heir Kiera Cass genre fiction
Shopaholic Ties the Knot,Sophie Kinsella,Intermediate,3.77,genre fiction,2.99,Shopaholic Ties the Knot Sophie Kinsella genre fiction
The Woman in White,"Wilkie Collins, Matthew Sweet",Intermediate,3.98,genre fiction,4.99,"The Woman in White Wilkie Collins, Matthew Sweet genre fiction"
Career of Evil,"Robert Galbraith, J.K. Rowling",Excellent,4.21,genre fiction,7.58,"Career of Evil Robert Galbraith, J.K. Rowling genre fiction"
The Summer I Turned Pretty,Jenny Han,Intermediate,3.96,genre fiction,3.99,The Summer I Turned Pretty Jenny Han genre fiction
Four to Score ,Janet Evanovich,Excellent,4.17,genre fiction,0.99,Four to Score  Janet Evanovich genre fiction
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,Excellent,4.06,genre fiction,0.99,The Color of Water: A Black Man's Tribute to His White Mother James McBride genre fiction
"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt, Stephen J. Dubner",Intermediate,3.95,genre fiction,7.69,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance Steven D. Levitt, Stephen J. Dubner genre fiction"
Darkfever,Karen Marie Moning,Excellent,4.14,genre fiction,10.65,Darkfever Karen Marie Moning genre fiction
Stone of Tears,Terry Goodkind,Excellent,4.1,genre fiction,7.31,Stone of Tears Terry Goodkind genre fiction
Heart of the Matter,Emily Giffin,Intermediate,3.73,genre fiction,5.99,Heart of the Matter Emily Giffin genre fiction
Vanity Fair: A Novel Without a Hero,"William Makepeace Thackeray, John Carey",Intermediate,3.76,genre fiction,0.99,"Vanity Fair: A Novel Without a Hero William Makepeace Thackeray, John Carey genre fiction"
The Sirens of Titan,Kurt Vonnegut Jr.,Excellent,4.16,genre fiction,1.0,The Sirens of Titan Kurt Vonnegut Jr. genre fiction
Dolores Claiborne,"Stephen King, Dominique Dill",Intermediate,3.81,genre fiction,4.38,"Dolores Claiborne Stephen King, Dominique Dill genre fiction"
The Nest,Cynthia D'Aprix Sweeney,Novice,3.45,nonfiction,9.99,The Nest Cynthia D'Aprix Sweeney nonfiction
"Fables, Volume 1: Legends in Exile","Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",Intermediate,3.99,genre fiction,7.5,"Fables, Volume 1: Legends in Exile Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean genre fiction"
Getting Things Done: How To Achieve Stress-free Productivity,David    Allen,Intermediate,3.98,genre fiction,3.99,Getting Things Done: How To Achieve Stress-free Productivity David    Allen genre fiction
The Celestine Prophecy,James Redfield,Intermediate,3.6,genre fiction,3.99,The Celestine Prophecy James Redfield genre fiction
My Life Next Door ,Huntley Fitzpatrick,Excellent,4.02,genre fiction,3.99,My Life Next Door  Huntley Fitzpatrick genre fiction
Winter of the World,Ken Follett,Excellent,4.29,nonfiction,9.99,Winter of the World Ken Follett nonfiction
"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi]","Haruki Murakami, Philip Gabriel",Intermediate,3.82,fiction,3.99,"è‰²å½©ã‚’æŒãŸãªã„å¤šå´Žã¤ãã‚‹ã¨ã€å½¼ã®å·¡ç¤¼ã®å¹´ [Shikisai o motanai Tazaki Tsukuru to, kare no junrei no toshi] Haruki Murakami, Philip Gabriel fiction"
Lucky,Alice Sebold,Intermediate,3.77,children,9.58,Lucky Alice Sebold children
To The Lighthouse ,Virginia Woolf,Intermediate,3.76,genre fiction,7.73,To The Lighthouse  Virginia Woolf genre fiction
Five Point Someone: What Not to Do at IIT,Chetan Bhagat,Novice,3.43,genre fiction,0.99,Five Point Someone: What Not to Do at IIT Chetan Bhagat genre fiction
Guilty Pleasures,Laurell K. Hamilton,Excellent,4.02,genre fiction,2.99,Guilty Pleasures Laurell K. Hamilton genre fiction
The Messenger,Markus Zusak,Excellent,4.09,genre fiction,0.99,The Messenger Markus Zusak genre fiction
Far from the Madding Crowd,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",Intermediate,3.92,genre fiction,13.59,"Far from the Madding Crowd Thomas Hardy, Rosemarie Morgan, Shannon Russell genre fiction"
Equal Rites,Terry Pratchett,Intermediate,4.0,genre fiction,0.99,Equal Rites Terry Pratchett genre fiction
House of Leaves,Mark Z. Danielewski,Excellent,4.13,genre fiction,2.99,House of Leaves Mark Z. Danielewski genre fiction
Cruel & Unusual,Patricia Cornwell,Excellent,4.11,genre fiction,2.99,Cruel & Unusual Patricia Cornwell genre fiction
Sycamore Row,John Grisham,Intermediate,3.98,genre fiction,7.31,Sycamore Row John Grisham genre fiction
Awakened,"P.C. Cast, Kristin Cast",Excellent,4.02,genre fiction,4.63,"Awakened P.C. Cast, Kristin Cast genre fiction"
My Ãntonia,Willa Cather,Intermediate,3.76,genre fiction,3.99,My Ãntonia Willa Cather genre fiction
Life As We Knew It,Susan Beth Pfeffer,Intermediate,3.89,nonfiction,7.52,Life As We Knew It Susan Beth Pfeffer nonfiction
America (The Book): A Citizen's Guide to Democracy Inaction,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",Excellent,4.02,nonfiction,7.99,"America (The Book): A Citizen's Guide to Democracy Inaction Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms nonfiction"
90 Minutes in Heaven,"Don Piper, Cecil Murphey",Intermediate,3.91,genre fiction,8.57,"90 Minutes in Heaven Don Piper, Cecil Murphey genre fiction"
The Longest Ride,Nicholas Sparks,Excellent,4.14,genre fiction,0.99,The Longest Ride Nicholas Sparks genre fiction
é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng],"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",Excellent,4.31,genre fiction,4.59,"é“å¾·ç¶“ [dÃ o dÃ© jÄ«ng] Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe genre fiction"
Kane and Abel,Jeffrey Archer,Excellent,4.27,fiction,4.99,Kane and Abel Jeffrey Archer fiction
Change of Heart,Jodi Picoult,Intermediate,3.91,genre fiction,6.83,Change of Heart Jodi Picoult genre fiction
Dry: A Memoir,Augusten Burroughs,Excellent,4.01,children,9.99,Dry: A Memoir Augusten Burroughs children
Sam's Letters To Jennifer,James Patterson,Excellent,4.15,genre fiction,5.99,Sam's Letters To Jennifer James Patterson genre fiction
Grey,E.L. James,Intermediate,3.76,genre fiction,7.88,Grey E.L. James genre fiction
Dune Messiah ,Frank Herbert,Intermediate,3.86,genre fiction,3.99,Dune Messiah  Frank Herbert genre fiction
The Great Divorce,C.S. Lewis,Excellent,4.28,fiction,9.99,The Great Divorce C.S. Lewis fiction
Little Earthquakes,Jennifer Weiner,Intermediate,3.76,nonfiction,7.5,Little Earthquakes Jennifer Weiner nonfiction
Eventyr og historier,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",Excellent,4.28,genre fiction,4.99,"Eventyr og historier Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter genre fiction"
New Moon: The Complete Illustrated Movie Companion,Mark Cotta Vaz,Excellent,4.34,genre fiction,10.99,New Moon: The Complete Illustrated Movie Companion Mark Cotta Vaz genre fiction
Maybe Someday,Colleen Hoover,Excellent,4.33,genre fiction,6.83,Maybe Someday Colleen Hoover genre fiction
Mr Maybe,Jane Green,Novice,3.41,genre fiction,3.99,Mr Maybe Jane Green genre fiction
Anne of the Island,L.M. Montgomery,Excellent,4.21,genre fiction,0.99,Anne of the Island L.M. Montgomery genre fiction
Also sprach Zarathustra,"Friedrich Nietzsche, Walter Kaufmann",Excellent,4.05,genre fiction,7.31,"Also sprach Zarathustra Friedrich Nietzsche, Walter Kaufmann genre fiction"
North and South,"Elizabeth Gaskell, Alan Shelston",Excellent,4.13,genre fiction,3.99,"North and South Elizabeth Gaskell, Alan Shelston genre fiction"
A Stolen Life,Jaycee Dugard,Intermediate,3.89,fiction,3.99,A Stolen Life Jaycee Dugard fiction
The Immortals of Meluha,Amish Tripathi,Intermediate,4.0,genre fiction,2.99,The Immortals of Meluha Amish Tripathi genre fiction
The Lost World,Michael Crichton,Intermediate,3.72,genre fiction,9.99,The Lost World Michael Crichton genre fiction
Requiem,Lauren Oliver,Intermediate,3.74,genre fiction,4.99,Requiem Lauren Oliver genre fiction
A Crown of Swords,Robert Jordan,Intermediate,4.0,nonfiction,0.99,A Crown of Swords Robert Jordan nonfiction
